sitename,country,operation,shortname,species,lat,long,camera
Värriö,Finland,2008-2014,FI-Var,Scots pine,67.76666667,29.58333333,Canon G1
Hyytiälä,Finland,2008-2014,FI-Hyy,Scots pine,61.83333333,24.28333333,Canon G1
Norunda,Sweden,2009-2014,SE-Nor,Scots pine/spruce,60.08333333,17.46666667,Stardot SC3
Aberfeldy,Scotland,2009,UK-Gri,Sitka spruce,56.6,-3.783333333,Canon EOS 300D
Brasschaat,Belgium,2009-2014,BE-Bra,Scots pine,51.3,4.516666667,Axis 207W
Tharandt,Germany,2009-2014,DE-Tha,Norway spruce,50.96666667,13.56666667,Canon PowerShot S50
Wetzstein,Germany,2008-2014,DE-Wet,Norway spruce,50.45,11.45,Kodak DC290
Vielsalm,Belgium,2010-2014,BE-Vie,Scots pine,50.3,5.983333333,Stardot Netcam SC5
Davos,Switzerland,2012-2014,CH-Dav,Norway spruce,46.81666667,9.85,Stardot Netcam SC5
Salles,France,2014,FR-Bil,Maritime pine,44.73333333,-0.7666666667,Stardot SC5
Puéchabon,France,2012-2014,FR-Pue,Holm Oak,43.73333333,3.583333333,Stardot Netcam SC5
Las Majadas del Tietar,Spain,2010-2014,ES-LMa,Holm Oak,39.93333333,-5.766666667,Stardot Netcam SC5
Yatir,Israel,2012-2014,IL-Yat,Aleppo pine,31.33333333,35.05,Stardot Netcam SC5
Sorø,Denmark,2009-2014,DK-Sor,Beech,55.48333333,11.63333333,Stardot Netcam SC5
Alice Holt,England,2009-2014,UK-Ham,English oak,51.11666667,-0.85,Nikon Coolpix + Stardot NetCam
Wytham Woods,England,2011-2014,UK-Wyt,English oak,51.76666667,-1.333333333,Motobix
Hainich,Germany,2003-2014,DE-Hai,Beech/Ash,51.06666667,10.46666667,Kodak DC290
Vielsalm,Belgium,2010-2014,BE-Vie,Beech,50.3,5.983333333,Stardot Netcam SC5
Hesse,France,2012-2014,FR-Hes,Beech,48.66666667,7.05,Stardot Netcam SC5
Montiers,France,2012-2014,FR-Mon,Beech,48.53333333,5.3,Stardot SC5
Fontainebleau,France,2012-2014,FR-Fon,Oak,48.46666667,2.766666667,Axis P1348
Lägeren,Switzerland,2004-2014,CH-Lae,Beech/Ash,47.46666667,8.35,Stardot Netcam SC5+Nikon Coolpix 5400
Torgnon,Italy,2010-2014,IT-Trf,Larch,45.83333333,7.566666667,Nikon D500
Roccarespampani,Italy,2008-2013,IT-Ro2,Oak,42.386872,11.909266,Stardot Netcam SC5
Herdade Machoqueira,Portugal,2010-2014,PT-Co1,Oak,38.53333333,-8,Stardot Netcam SC5
Cabauw,Netherlands,2010-2014,NL-Ca1,Grassland,52.01666667,5.066666667,Unknown
Grosses Bruch,Germany,2013-2014,DE-Gro,Grassland,52.01666667,11.1,Canon PowerShot D20
Gebesee,Germany,2008-2014,DE-Geb,Cropland,51.1,10.9,Mobotix M22M (+ Kodak DC290)
Grillenburg,Germany,2007-2014,DE-Gri,Grassland,50.95,13.51666667,Canon PowerShot S50
Klingenberg,Germany,2008-2014,DE-Kli,Cropland,50.9,13.51666667,Canon PowerShot S50
Lonzee,Belgium,2009-2014,BE-Lon,Cropland,50.91666667,4.733333333,Stardot Netcam SC5
Grignon,France,2014,FR-Gri,Cropland,48.83333333,1.95,Abus 5 MP
Neustift,Austria,2011-2014,AT-Neu,Grassland,47.1,11.31666667,Logitech
Früebüel,Switzerland,2008-2014,CH-Fru,Grassland,47.11666667,8.533333333,Stardot Netcam SC5
Lusignan,France,2013-2014,FR-Lus,Grassland,46.41666667,0.1166666667,Stardot SC5
Torgnon,Italy,2009-2014,IT-Tor,Grassland,45.83333333,7.566666667,Nikon D500
Laqueuille,France,2010-2014,FR-Laq,Grassland,45.63333333,2.733333333,Stardot Netcam SC5
Auradé,France,2013-2014,FR-Aur,Cropland,43.53333333,1.1,Aote-Tech 5MP IP
Lamasquère,France,2013-2014,FR-Lam,Cropland,43.48333333,1.233333333,Aote-Tech 5MP IP
Nimtek,Sweden	,2011-2015,SE-Nim,Norway spruce,65.967967,18.533967,Mobotix M24M
Svartberget,Sweden,2015,SE-Sva,Scots pine/Norway spruce,64.16666667,19.78333335,Stardot SC5
Norunda Clearcut,Sweden,2010-2015,SE-Ncc,Clearcut,60.08333336,17.46666665,Mobotix M24M
Skogaryd,Sweden,2013-2015,SE-Scc,Clearcut,58.36666667,12.13333333,Mobotix M24M
Rumperöd,Sweden,2013-2015,SE-Rum,Mixed Forest,56.31666667,14.1,Mobotix M24M
Hyltemossa,Sweden,2015,SE-Hyl,Norway spruce,56.1,13.41666667,Stardot SC5
Bilý Kríž,Czech Republic,2015,CZ-Bkz,Norway spruce,49.5,18.53333335,Canon PowerShot A800
